台湾菜,艾可创义厨房,艾可创义厨房,0,梦时代商圈,0.0,0.0,0.0
台湾菜,舌尖舞芭蕾咖啡,舌尖舞芭蕾咖啡,0,,0.0,0.0,0.0
台湾菜,飞天瓮缸鸡休闲餐厅,飞天瓮缸鸡休闲餐厅,0,凤山区,0.0,0.0,0.0
台湾菜,南方燻之味,南方燻之味,0,高雄火车站,0.0,0.0,0.0
台湾菜,Boston,Boston,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,沙茶羊肉,沙茶羊肉,0,三多商圈,0.0,0.0,0.0
台湾菜,阿成炒饭专卖店,阿成炒饭专卖店,0,高雄火车站,0.0,0.0,0.0
台湾菜,79Style,79Style(五福店),0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,七先生小馆,七先生小馆,0,高雄近郊,0.0,0.0,0.0
台湾菜,福来仔灶脚,福来仔灶脚,0,左营车站,0.0,0.0,0.0
台湾菜,甘蔗卤味,甘蔗卤味,0,高雄火车站,0.0,0.0,0.0
台湾菜,冈山文贤市场刈包,冈山文贤市场刈包,0,冈山区,0.0,0.0,0.0
台湾菜,Hoters 义大利面,Hoters 义大利面,0,高雄近郊,0.0,0.0,0.0
台湾菜,木牛流马,木牛流马,0,金狮湖,0.0,0.0,0.0
台湾菜,高钙软骨便当,高钙软骨便当,0,梦时代商圈,0.0,0.0,0.0
台湾菜,满点肉粽,满点肉粽,0,梦时代商圈,0.0,0.0,0.0
台湾菜,海光二村,海光二村,0,左营车站,0.0,0.0,0.0
台湾菜,土库阳春面 肉燥饭,土库阳春面 肉燥饭,0,高雄近郊,0.0,0.0,0.0
台湾菜,佳香品味小菜馆,佳香品味小菜馆,0,冈山区,0.0,0.0,0.0
台湾菜,四两千金活虾之家,四两千金活虾之家,0,左营车站,0.0,0.0,0.0
台湾菜,啄木鸟亲子餐厅,啄木鸟亲子餐厅,0,高雄近郊,0.0,0.0,0.0
台湾菜,哄哄香瓮缸鸡,哄哄香瓮缸鸡,0,高雄国际机场,0.0,0.0,0.0
台湾菜,林热炒,林热炒,0,金狮湖,0.0,0.0,0.0
台湾菜,黄家瓜仔肉饭,黄家瓜仔肉饭,0,左营车站,0.0,0.0,0.0
台湾菜,美浓客家菜餐厅,美浓客家菜餐厅,0,左营车站,0.0,0.0,0.0
台湾菜,椰路撒冷平价时尚美食,椰路撒冷平价时尚美食,0,左营车站,0.0,0.0,0.0
台湾菜,肉粽碗稞,肉粽碗稞,0,高雄近郊,0.0,0.0,0.0
台湾菜,天生澳客,天生澳客,0,高雄火车站,0.0,0.0,0.0
台湾菜,乐三三音乐餐厅,乐三三音乐餐厅,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,老家福餐厅,老家福餐厅,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,爵士鱼深海鱼主题馆,爵士鱼深海鱼主题馆,0,左营车站,0.0,0.0,0.0
台湾菜,老周肉圆面线羹,老周肉圆面线羹,0,高雄火车站,0.0,0.0,0.0
台湾菜,二苓市场--- 炸肉圆,二苓市场--- 炸肉圆,0,高雄国际机场,0.0,0.0,0.0
台湾菜,Black布雷克手作披萨,Black布雷克手作披萨,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,观音山房,观音山房,0,高雄近郊,0.0,0.0,0.0
台湾菜,蒸香手工肉圆美食店,蒸香手工肉圆美食店,0,高雄近郊,0.0,0.0,0.0
台湾菜,台南曾记土魠鱼羹,台南曾记土魠鱼羹,0,金狮湖,0.0,0.0,0.0
台湾菜,后劲福利餐厅,后劲福利餐厅,0,高雄近郊,0.0,0.0,0.0
台湾菜,大鱼市场,大鱼市场(明诚店),0,金狮湖,0.0,0.0,0.0
台湾菜,悦来香小吃-御香厨快餐,悦来香小吃-御香厨快餐,0,金狮湖,0.0,0.0,0.0
台湾菜,永吉素食,永吉素食,0,金狮湖,0.0,0.0,0.0
台湾菜,美兰餐馆,美兰餐馆,0,高雄近郊,0.0,0.0,0.0
台湾菜,金御阁中华严选料理,金御阁中华严选料理,0,高雄近郊,0.0,0.0,0.0
台湾菜,阿荣臭豆腐,阿荣臭豆腐,0,左营车站,0.0,0.0,0.0
台湾菜,高雄金鱼面,高雄金鱼面,0,高雄火车站,0.0,0.0,0.0
台湾菜,绿树林幸福农场休闲餐厅,绿树林幸福农场休闲餐厅,0,金狮湖,0.0,0.0,0.0
台湾菜,二两三钱韩家私房药膳,二两三钱韩家私房药膳,0,高雄近郊,0.0,0.0,0.0
台湾菜,凤山担仔面,凤山担仔面,0,高雄近郊,0.0,0.0,0.0
台湾菜,大汗牛肉拉面,大汗牛肉拉面,0,高雄近郊,0.0,0.0,0.0
台湾菜,炸天下,炸天下(广西店),0,高雄近郊,0.0,0.0,0.0
台湾菜,三多黑猪肉燥饭专卖店,三多黑猪肉燥饭专卖店,0,苓雅区捷运沿线,0.0,0.0,0.0
台湾菜,桶一天下 现卤卤味,桶一天下 现卤卤味(高雄庆丰店),0,左营车站,0.0,0.0,0.0
台湾菜,树益园餐厅,树益园餐厅,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,食舞四季,食舞四季,0,高雄近郊,0.0,0.0,0.0
台湾菜,森涛餐厅,森涛餐厅,0,高雄近郊,0.0,0.0,0.0
台湾菜,药膳排骨,药膳排骨,0,苓雅区捷运沿线,0.0,0.0,0.0
台湾菜,时光佐味义式餐坊,时光佐味义式餐坊,0,苓雅区捷运沿线,0.0,0.0,0.0
台湾菜,美浓客家菜,美浓客家菜,0,高雄近郊,0.0,0.0,0.0
台湾菜,霸面姜母鸭,霸面姜母鸭(凤山文衡店),0,高雄近郊,0.0,0.0,0.0
台湾菜,老店肉圆(高雄6元肉圆),老店肉圆(高雄6元肉圆),0,梦时代商圈,0.0,0.0,0.0
台湾菜,千有饺子王餐厅,千有饺子王餐厅,0,高雄近郊,0.0,0.0,0.0
台湾菜,台湾来点滷味,台湾来点滷味,0,高雄近郊,0.0,0.0,0.0
台湾菜,吴妈妈,吴妈妈,0,高雄近郊,0.0,0.0,0.0
台湾菜,大碗爌肉饭,大碗爌肉饭,0,高雄近郊,0.0,0.0,0.0
台湾菜,无名猪血汤,无名猪血汤,0,高雄近郊,0.0,0.0,0.0
台湾菜,阿嬷油饭,阿嬷油饭,0,左营车站,0.0,0.0,0.0
台湾菜,Morning9,Morning9,0,高雄近郊,0.0,0.0,0.0
台湾菜,BONHEUR 波纳荷,BONHEUR 波纳荷,0,左营车站,0.0,0.0,0.0
台湾菜,私厨热炒,私厨热炒(文学店),0,左营车站,0.0,0.0,0.0
台湾菜,No.4 PASTA,No.4 PASTA,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,一牛车池上饭包,一牛车池上饭包,0,高雄近郊,0.0,0.0,0.0
台湾菜,光华猪心冬粉,光华猪心冬粉,0,梦时代商圈,0.0,0.0,0.0
台湾菜,哈啰嘉义火鸡肉饭,哈啰嘉义火鸡肉饭,0,左营车站,0.0,0.0,0.0
台湾菜,好滋味德国猪脚,好滋味德国猪脚,0,高雄近郊,0.0,0.0,0.0
台湾菜,无明肉燥饭,无明肉燥饭,0,高雄近郊,0.0,0.0,0.0
台湾菜,无刺虱目鱼肚,无刺虱目鱼肚,0,真爱码头,0.0,0.0,0.0
台湾菜,橡树园餐厅,橡树园餐厅,0,梦时代商圈,0.0,0.0,0.0
台湾菜,薇达乐料理(新田门市),薇达乐料理(新田门市),0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,绍兴炒饭,绍兴炒饭,0,高雄近郊,0.0,0.0,0.0
台湾菜,雷老师香草主题餐厅,雷老师香草主题餐厅,0,苓雅区捷运沿线,0.0,0.0,0.0
台湾菜,奇园食堂,奇园食堂,0,高雄近郊,0.0,0.0,0.0
台湾菜,义式小厨,义式小厨,0,三多商圈,0.0,0.0,0.0
台湾菜,中崎卤味,中崎卤味,0,高雄近郊,0.0,0.0,0.0
台湾菜,福品肉圆面食馆,福品肉圆面食馆,0,梦时代商圈,0.0,0.0,0.0
台湾菜,NU PASTA,NU PASTA(高雄同盟店),0,高雄火车站,0.0,0.0,0.0
台湾菜,维来义义大利面,维来义义大利面,0,金狮湖,0.0,0.0,0.0
台湾菜,南都鸡肉饭馆,南都鸡肉饭馆(华夏店),0,左营车站,0.0,0.0,0.0
台湾菜,食为先,食为先,0,高雄近郊,0.0,0.0,0.0
台湾菜,左饮右食,左饮右食(裕诚店),0,左营车站,0.0,0.0,0.0
台湾菜,那悠地乡村厨房,那悠地乡村厨房,0,高雄近郊,0.0,0.0,0.0
台湾菜,里港阿吉小吃馆,里港阿吉小吃馆,0,冈山区,0.0,0.0,0.0
台湾菜,紫红洋葱,紫红洋葱,0,高雄近郊,0.0,0.0,0.0
台湾菜,头前园休闲餐厅,头前园休闲餐厅,0,高雄近郊,0.0,0.0,0.0
台湾菜,苹果绿烘培坊,苹果绿烘培坊,0,高雄近郊,0.0,0.0,0.0
台湾菜,吴家羊肉店,吴家羊肉店,0,高雄近郊,0.0,0.0,0.0
台湾菜,Pennoni 派诺尼义大利面,Pennoni 派诺尼义大利面,0,高雄近郊,0.0,0.0,0.0
台湾菜,艾米莉亚手作早午餐,艾米莉亚手作早午餐,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,羊肉,羊肉,0,高雄近郊,0.0,0.0,0.0
台湾菜,阿珠热炒海鲜,阿珠热炒海鲜,0,左营车站,0.0,0.0,0.0
台湾菜,真爱意大利面,真爱意大利面,0,梦时代商圈,0.0,0.0,0.0
台湾菜,冈山羊肉店,冈山羊肉店,0,高雄近郊,0.0,0.0,0.0
台湾菜,豪香家常菜,豪香家常菜,0,左营车站,0.0,0.0,0.0
台湾菜,嘉义火鸡肉饭,嘉义火鸡肉饭,0,金狮湖,0.0,0.0,0.0
