冰淇淋,Fassi 1880
其他西餐,Mustacchio Caffe
其他西餐,Pazzi per... il caffè Enoteca Wine bar
其他西餐,Teulada Drink & Food
其他西餐,Bless Paninoteca-Pizzeria
其他西餐,Parco de' Medici Club
其他西餐,Le Spighe - Ristorante Pizzeria
其他西餐,Hong Fan Tian
其他西餐,Lowenhaus
其他西餐,Africa - Ristorante Tipico Etiopico-Eritreo
其他西餐,Spinelli - Caffetteria & Bistrot
其他西餐,Melo
其他西餐,Forno Boccione
其他西餐,Il Localino
其他西餐,La Veranda Dell'Hotel Columbus
其他西餐,Pizzeria Lo Zio Frankie
其他西餐,La Pilotta
其他西餐,Bisteak
其他西餐,Ginger Sapori e salute
其他西餐,Ditirambo
其他西餐,Osteria St. Ana
其他西餐,Trattoria Del Pesce
其他西餐,Trattoria da Teo
其他西餐,Viva Voce
其他西餐,Stravinskij Bar - Hotel De Russie
其他西餐,Lo Stil Novo
其他西餐,La Crostaceria
其他西餐,La Piazzetta del Gusto
其他西餐,Ristorante Greco Ippokrates
其他西餐,Vintage Bistrot
其他西餐,Meid in Nepols
其他西餐,La Buvette
其他西餐,Sitar
其他西餐,Birreria Martini
其他西餐,Baires 1
其他西餐,Associazione Culturale Matrioska
其他西餐,Da Felice a Testaccio
其他西餐,Anema E Cozze
其他西餐,IL Gusto Restaurant Wok
